aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,Cardinal 10 m,NW,7.5,,Depth,98,5/10/2024 10:37,98,,,,98,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,Cardinal 10 m,NW,5,,Depth,135,5/10/2024 10:37,135,,,,135,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,Cardinal 10 m,NW,2.5,,Depth,131,5/10/2024 10:37,131,,,,131,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,10,,Depth,206,5/10/2024 9:15,206,,,,206,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,7.5,,Depth,212,5/10/2024 9:15,212,,,,212,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,5,,Depth,207,5/10/2024 9:15,207,,,,207,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,2.5,,Depth,166,5/10/2024 9:15,166,,,,166,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,Centre,,,Depth,144,5/10/2024 9:16,144,,,,144,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,10,,Depth,120,5/10/2024 9:17,120,,,,120,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,7.5,,Depth,140,5/10/2024 9:17,140,,,,140,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,5,,Depth,127,5/10/2024 9:17,127,,,,127,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
