aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end,2023_Final_ID,Alternate_ID,Northing_m,Easting_m,Orthoetric_Height,Latitude_dd,Longitude_dd,Ellipsoid_Height_m,"Processing_Method (RTK PPK, PPP)",Datum,Geoid_Model,Equipment_Used,Date_Surveyed,Notes
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SE,7.5,,Depth,190.0,5/2/2024 11:23,400.0,,,,400,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SE,10.0,,Depth,182.0,5/2/2024 11:24,392.0,,,,392,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NE,2.5,,Depth,206.0,5/2/2024 11:27,416.0,,,,416,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NE,5.0,,Depth,188.0,5/2/2024 11:27,398.0,,,,398,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NE,7.5,,Depth,106.0,5/2/2024 11:28,316.0,,,,316,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NE,10.0,,Depth,101.0,5/2/2024 11:28,311.0,,,,311,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NW,2.5,,Depth,230.0,5/2/2024 11:29,440.0,,,,440,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NW,5.0,,Depth,233.0,5/2/2024 11:30,443.0,,,,443,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NW,7.5,,Depth,189.0,5/2/2024 11:30,399.0,,,,399,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,NW,10.0,,Depth,194.0,5/2/2024 11:30,404.0,,,,404,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SW,2.5,,Depth,201.0,5/2/2024 11:32,411.0,,,,411,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SW,5.0,,Depth,149.0,5/2/2024 11:32,359.0,,,,359,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SW,7.5,,Depth,129.0,5/2/2024 11:33,339.0,,,,339,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,SW,10.0,,Depth,64.0,5/2/2024 11:33,274.0,,,,274,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,Centre,,,Density,326.0,5/3/2024 16:50,,265.0,0.0,295.0,326,no,,,,,,,,265.0,O,,,,326.0,81.0,142.0,0.436,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,N,10.0,,Density,387.0,5/3/2024 16:52,,325.0,0.0,322.0,387,no,,,,,,,,325.0,O,,,,387.0,84.0,169.0,0.437,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,E,10.0,,Density,313.0,5/3/2024 16:52,,198.0,0.0,288.0,313,no,,,,,,,,198.0,O,,,,313.0,63.0,135.0,0.431,Fair,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
