aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,2.5,,Depth,137.0,5/10/2024 9:17,137.0,,,,137.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,10.0,,Depth,136.0,5/10/2024 9:19,136.0,,,,136.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,7.5,,Depth,118.0,5/10/2024 9:19,118.0,,,,118.0,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,5.0,,Depth,94.0,5/10/2024 9:20,94.0,,,,94.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,2.5,,Depth,128.0,5/10/2024 9:20,128.0,,,,128.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,S,10.0,,Density,205.0,5/10/2024 9:21,,180.0,0.0,4590.0,205.0,,,,,,,,,180.0,O,,,1090.0,205.0,88.0,97.13,0.474,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,10.0,,Depth,168.0,5/10/2024 9:22,168.0,,,,168.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,7.5,,Depth,185.0,5/10/2024 9:22,185.0,,,,185.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,5.0,,Depth,170.0,5/10/2024 9:22,170.0,,,,170.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,2.5,,Depth,155.0,5/10/2024 9:23,155.0,,,,155.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,10.0,,Density,155.0,5/10/2024 9:23,,145.0,0.0,4270.0,155.0,,,,,,,,,145.0,O,,,770.0,155.0,94.0,68.615,0.443,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,10.0,,Depth,124.0,5/10/2024 9:25,124.0,,,,124.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,7.5,,Depth,204.0,5/10/2024 9:25,204.0,,,,204.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,5.0,,Depth,203.0,5/10/2024 9:25,203.0,,,,203.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,2.5,,Depth,172.0,5/10/2024 9:26,172.0,,,,172.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,10.0,,Density,119.0,5/10/2024 9:25,,110.0,0.0,4010.0,119.0,,,,,,,,,110.0,O,,,510.0,119.0,92.0,45.446,0.382,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,10.0,,Density,165.0,5/10/2024 9:27,,145.0,0.0,4350.0,165.0,,,,,,,,,145.0,O,,,850.0,165.0,88.0,75.744,0.459,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,10.0,,Depth,132.0,5/10/2024 9:28,132.0,,,,132.0,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,7.5,,Depth,44.0,5/10/2024 9:28,44.0,,,,44.0,,,,,,,,,,"U,TW",,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,Centre,,,Density,141.0,5/10/2024 9:28,,131.0,0.0,4140.0,141.0,,,,,,,,,131.0,O,,,640.0,141.0,93.0,57.03,0.404,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,5.0,,Depth,76.0,5/10/2024 9:29,76.0,,,,76.0,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,2.5,,Depth,137.0,5/10/2024 9:29,137.0,,,,137.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,10.0,,Depth,150.0,5/10/2024 9:30,150.0,,,,150.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,7.5,,Depth,143.0,5/10/2024 9:31,143.0,,,,143.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,5.0,,Depth,116.0,5/10/2024 9:31,116.0,,,,116.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,2.5,,Depth,121.0,5/10/2024 9:31,121.0,,,,121.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,10.0,,Depth,159.0,5/10/2024 9:32,159.0,,,,159.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,7.5,,Depth,165.0,5/10/2024 9:32,165.0,,,,165.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,5.0,,Depth,161.0,5/10/2024 9:32,161.0,,,,161.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,2.5,,Depth,159.0,5/10/2024 9:32,159.0,,,,159.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,10.0,,Depth,86.0,5/10/2024 15:19,86.0,,,,86.0,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,7.5,,Depth,33.0,5/10/2024 15:20,33.0,,,,33.0,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,5.0,,Depth,0.0,5/10/2024 15:20,0.0,,,,0.0,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 15:49
